Text,Prediction
So when do you wanna gym?,Not Spam 
You'd like that wouldn't you? Jerk!,Not Spam 
Are u awake? Is there snow there?,Not Spam 
And of course you should make a stink!,Not Spam 
"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",Spam
No go. No openings for that room 'til after thanksgiving without an upcharge.,Not Spam 
When you guys planning on coming over?,Not Spam 
Wat Ì_ doing now?,Not Spam 
"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",Not Spam 
No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,Not Spam 
Do I? I thought I put it back in the box,Not Spam 
I'm home...,Not Spam 
No one interested. May be some business plan.,Not Spam 
Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,Not Spam 
Good morning princess! Have a great day!,Not Spam 
Guai... ÌÏ shd haf seen him when he's naughty... ÌÏ so free today? Can go jogging...,Not Spam 
Aiyo cos i sms Ì_ then Ì_ neva reply so i wait 4 Ì_ to reply lar. I tot Ì_ havent finish ur lab wat.,Not Spam 
"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",Not Spam 
Tell me something. Thats okay.,Not Spam 
Ok,Not Spam 
Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,Not Spam 
This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,Not Spam 
"Hey, iouri gave me your number, I'm wylie, ryan's friend",Not Spam 
Yep get with the program. You're slacking.,Not Spam 
I'm in inside office..still filling forms.don know when they leave me.,Not Spam 
"I think your mentor is , but not 100 percent sure.",Not Spam 
Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate),Spam
Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,Spam
A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611,Spam
Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,Not Spam 
IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,Spam
Hi mom we might be back later than  &lt;#&gt; ,Not Spam 
dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,Not Spam 
"Lol, oh you got a friend for the dog ?",Not Spam 
"Ok., is any problem to u frm him? Wats matter?",Not Spam 
"K I'll head out in a few mins, see you there",Not Spam 
Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..,Not Spam 
I cant pick the phone right now. Pls send a message,Not Spam 
I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.,Not Spam 
The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,Not Spam 
"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or å£250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022",Spam
Somebody set up a website where you can play hold em using eve online spacebucks,Not Spam 
Its sunny in california. The weather's just cool,Not Spam 
You have 1 new message. Call 0207-083-6089,Spam
"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad",Not Spam 
Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.,Not Spam 
How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.IåÕm knackered and iåÕm dreading work tonight. What are thou upto tonight. X,Not Spam 
How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem,Not Spam 
I'm at work. Please call,Not Spam 
I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...,Not Spam 
NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,Not Spam 
Ok.ok ok..then..whats ur todays plan,Not Spam 
Nt joking seriously i told,Not Spam 
Watching ajith film ah?,Not Spam 
Ooooooh I forgot to tell u I can get on yoville on my phone,Not Spam 
"All done, all handed in. Don't know if mega shop in asda counts as celebration but thats what i'm doing!",Not Spam 
I dont know exactly could you ask chechi.,Not Spam 
Dunno lei shd b driving lor cos i go sch 1 hr oni.,Not Spam 
As in i want custom officer discount oh.,Not Spam 
That's necessarily respectful,Not Spam 
Hi. Hope you had a good day. Have a better night.,Not Spam 
And he's apparently bffs with carly quick now,Not Spam 
HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!ö´Ó_??Û¬ud evening...,Not Spam 
Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,Not Spam 
Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,Not Spam 
So gd got free ice cream... I oso wan...,Not Spam 
Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,Not Spam 
So how many days since then?,Not Spam 
Dear are you angry i was busy dear,Not Spam 
Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if Ì_ leaving earlier or wat mah cos mayb Ì_ haf to walk v far...,Not Spam 
... Are you in the pub?,Not Spam 
There is a first time for everything :),Not Spam 
"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",Not Spam 
I ask if u meeting da ge tmr nite...,Not Spam 
Gr8. So how do you handle the victoria island traffic. Plus when's the album due,Not Spam 
Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,Not Spam 
East coast,Not Spam 
You should get more chicken broth if you want ramen unless there's some I don't know about,Not Spam 
My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,Not Spam 
Nope. I just forgot. Will show next week,Not Spam 
So how are you really. What are you up to. How's the masters. And so on.,Not Spam 
I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story),Not Spam 
I dont know oh. Hopefully this month.,Not Spam 
"Hi elaine, is today's meeting confirmed?",Not Spam 
Ok k..sry i knw 2 siva..tats y i askd..,Not Spam 
"Sorry, I'll call later",Not Spam 
U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,Not Spam 
Otherwise had part time job na-tuition..,Not Spam 
Oh yeah! And my diet just flew out the window,Not Spam 
Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,Spam
You didnt complete your gist oh.,Not Spam 
"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",Not Spam 
"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around",Not Spam 
If I was I wasn't paying attention,Not Spam 
Thanx a lot 4 ur help!,Not Spam 
You're gonna have to be way more specific than that,Not Spam 
Jesus armand really is trying to tell everybody he can find,Not Spam 
I'm wif him now buying tix lar...,Not Spam 
Mode men or have you left.,Not Spam 
Am slow in using biola's fne,Not Spam 
"\What are youdoing later? Sar xxx\""""",Not Spam 
Hey i've booked the 2 lessons on sun liao...,Not Spam 
Thank you. do you generally date the brothas?,Not Spam 
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",Not Spam 
"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",Not Spam 
You have won a guaranteed 32000 award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,Spam
Good morning. At the repair shop--the ONLY reason i'm up at this hour.,Not Spam 
"And that's fine, I got enough bud to last most of the night at least",Not Spam 
I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,Not Spam 
So that takes away some money worries,Not Spam 
"aight we can pick some up, you open before tonight?",Not Spam 
"Latest News! Police station toilet stolen, cops have nothing to go on!",Not Spam 
Sac needs to carry on:),Not Spam 
Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,Not Spam 
What???? Hello wats talks email address?,Not Spam 
Except theres a chick with huge boobs.,Not Spam 
Im just wondering what your doing right now?,Not Spam 
Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.,Not Spam 
"\For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk\""""",Not Spam 
Arun can u transfr me d amt,Not Spam 
"Sorry, I'll call later",Not Spam 
If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,Not Spam 
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,Spam
Ok i thk i got it. Then u wan me 2 come now or wat?,Not Spam 
Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv,Spam
U GOIN OUT 2NITE?,Not Spam 
I will treasure every moment we spend together...,Not Spam 
Shall I bring us a bottle of wine to keep us amused? Only joking! IÛ÷ll bring one anyway,Not Spam 
http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=trueåÁC C RingtoneåÁ,Not Spam 
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,Spam
"URGENT! Last weekend's draw shows that you have won å£1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm",Spam
Ok lor.,Not Spam 
I thought slide is enough.,Not Spam 
Yup,Not Spam 
Well obviously not because all the people in my cool college life went home ;_;,Not Spam 
Ok lor Ì_ reaching then message me.,Not Spam 
Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?,Not Spam 
Dhoni have luck to win some big title.so we will win:),Spam
Yes princess! I want to please you every night. Your wish is my command...,Not Spam 
What Today-sunday..sunday is holiday..so no work..,Not Spam 
No probably  &lt;#&gt; %.,Not Spam 
Really do hope the work doesnt get stressful. Have a gr8 day.,Not Spam 
Have you seen who's back at Holby?!,Not Spam 
Shall call now dear having food,Not Spam 
URGENT We are trying to contact you Last weekends draw shows u have won a å£1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,Spam
So li hai... Me bored now da lecturer repeating last weeks stuff waste time... ,Not Spam 
", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy",Not Spam 
Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(,Not Spam 
Ofcourse I also upload some songs,Not Spam 
2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out,Spam
K. I will sent it again,Not Spam 
Oh thanks a lot..i already bought 2 eggs ..,Not Spam 
K. I will sent it again,Not Spam 
U studying in sch or going home? Anyway i'll b going 2 sch later.,Not Spam 
Marvel Mobile Play the official Ultimate Spider-man game (å£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper,Spam
I think if he rule tamilnadu..then its very tough for our people.,Not Spam 
"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",Not Spam 
"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",Not Spam 
Yes... I trust u to buy new stuff ASAP so I can try it out,Not Spam 
"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",Spam
Why did I wake up on my own &gt;:(,Not Spam 
Now get step 2 outta the way. Congrats again.,Not Spam 
Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,Not Spam 
PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04,Spam
Apo all other are mokka players only,Not Spam 
"Perhaps * is much easy give your account identification, so i will tomorrow at UNI",Not Spam 
Wait . I will msg after  &lt;#&gt;  min.,Not Spam 
What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.,Not Spam 
God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,Not Spam 
I want to be inside you every night...,Not Spam 
"Machan you go to gym tomorrow,  i wil come late goodnight.",Not Spam 
Lol they were mad at first but then they woke up and gave in.,Not Spam 
I went to project centre,Not Spam 
"ItÛ÷s reassuring, in this crazy world.",Not Spam 
"Just making dinner, you ?",Not Spam 
Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave,Not Spam 
Oh... Okie lor...We go on sat... ,Not Spam 
You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.,Not Spam 
"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",Not Spam 
Miles and smiles r made frm same letters but do u know d difference..? smile on ur face keeps me happy even though I am miles away from u.. :-)keep smiling.. Good nyt,Not Spam 
"By the way, i've put a skip right outside the front of the house so you can see which house it is. Just pull up before it.",Not Spam 
Can you pls send me that company name. In saibaba colany,Not Spam 
No. I dont want to hear anything,Not Spam 
You are a big chic. Common. Declare,Not Spam 
Thats cool. I want to please you...,Not Spam 
Going to join tomorrow.,Not Spam 
You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99,Spam
I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,Not Spam 
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,Spam
"Total disappointment, when I texted you was the craziest shit got :(",Not Spam 
Its just the effect of irritation. Just ignore it,Not Spam 
What about this one then.,Not Spam 
I think that tantrum's finished so yeah I'll be by at some point,Not Spam 
Compliments to you. Was away from the system. How your side.,Not Spam 
happened here while you were adventuring,Not Spam 
"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",Not Spam 
Ok which your another number,Not Spam 
"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",Not Spam 
Aiyah ok wat as long as got improve can already wat...,Not Spam 
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,Spam
I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,Not Spam 
Just sleeping..and surfing,Not Spam 
ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O å£250 3 WANT å£800,Not Spam 
Yeah it's jus rite...,Not Spam 
Armand says get your ass over to epsilon,Not Spam 
U still havent got urself a jacket ah?,Not Spam 
"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready",Not Spam 
Hi its in durban are you still on this number,Not Spam 
Ic. There are a lotta childporn cars then.,Not Spam 
"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records.",Spam
"No, I was trying it all weekend ;V",Not Spam 
"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",Not Spam 
"Cool, what time you think you can get here?",Not Spam 
Wen did you get so spiritual and deep. That's great,Not Spam 
Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,Not Spam 
Hahaha..use your brain dear,Not Spam 
Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash,Not Spam 
Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,Not Spam 
Yes i have. So that's why u texted. Pshew...missing you so much,Not Spam 
No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,Not Spam 
"Sorry, I'll call later",Not Spam 
if you aren't here in the next  &lt;#&gt;  hours imma flip my shit,Not Spam 
Anything lor. Juz both of us lor.,Not Spam 
Get me out of this dump heap. My mom decided to come to lowes. BORING.,Not Spam 
Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...,Not Spam 
Ard 6 like dat lor.,Not Spam 
Why don't you wait 'til at least wednesday to see if you get your .,Not Spam 
Huh y lei...,Not Spam 
"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",Spam
"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",Spam
Will Ì_ b going to esplanade fr home?,Not Spam 
"Pity, * was in mood for that. So...any other suggestions?",Not Spam 
The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,Not Spam 
Rofl. Its true to its name,Not Spam 
